date,z,direction,rank,half_life,breakdown,n_halted,gross_ret,net_ret,fees,impact,borrow,gross_exposure
2022-08-22,0.813413397850623,0,0,3.351490026269971,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-23,0.7345608572128418,0,0,3.351490026269971,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-24,0.4039831023558648,0,0,3.351490026269971,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-25,1.1258753166374265,0,0,3.351490026269971,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-26,2.0452097257951114,-1,0,3.351490026269971,False,0,0.0,-0.0003292580833564902,1499.5249578684352,1793.0558756964665,0.0,0.0
2022-08-29,2.4808398797831597,-1,0,3.351490026269971,False,0,-0.0036033075173029206,-0.0036132220794518133,1.9147890386856434,0.08455822277198762,97.14627422747078,0.9996833052456235
2022-08-30,2.2038931707290903,-1,0,3.351490026269971,False,0,-0.00010857077640645703,-0.00011905169844427289,7.207129008482452,0.5612289046240061,97.04086246505216,0.99862073222831
2022-08-31,2.4748404111230156,-1,0,3.351490026269971,False,0,-0.0031669876834311403,-0.003177253394984879,5.546912436461418,0.38907014473018253,96.72113295619833,0.9953978273412244
2022-09-01,2.6169417990252346,-1,0,3.351490026269971,False,0,-0.0025855442833183266,-0.0025953844660994902,1.3421913425602263,0.0578605191945696,97.00177594987896,0.9982267392976647
2022-09-02,2.264763339799306,-1,0,3.351490026269971,False,0,0.0007634272344145508,0.0007531637130857743,5.2303192516059465,0.43555592137260224,96.96933811478704,0.9978997450415855
2022-09-06,1.9370899308391256,-1,0,3.351490026269971,False,0,0.0009691374910747925,0.0009587579510645333,6.368892743662594,0.4875816826224899,96.93892567630705,0.9975931888017608
2022-09-07,1.9662858387818407,-1,0,3.351490026269971,False,0,-0.0014853081951390935,-0.0014951977501149012,2.08120328732193,0.10116725367414262,96.71317921708017,0.9953176106183318
2022-09-08,1.9368980068108876,-1,0,3.351490026269971,False,0,-0.00045134325810274566,-0.0004618767489006717,7.915661400434346,0.6745760070507838,96.74467057177529,0.9956350665146037
2022-09-09,1.786053930596001,-1,0,3.351490026269971,False,0,0.00021760431903015617,0.00020777309848246027,1.2447609677838922,0.05175204569412631,97.01569246348095,0.99836703646797
2022-09-12,1.2407796311445074,-1,0,3.351490026269971,False,0,0.003317068557835063,0.0033066695716343145,6.420185737938175,0.5168792722901837,97.05279699725975,0.99874103533173
2022-09-13,1.2064922608109265,-1,0,3.351490026269971,False,0,-0.00035180543032455394,-0.00036214522804683984,5.879040589375627,0.6414843007550066,96.87745233272848,0.9969735548899824
2022-09-14,0.8164327471919828,-1,0,3.351490026269971,False,0,0.002513752151954234,0.0025038335029600373,2.3623823880018593,0.19395138824411223,96.63015616572059,0.9944808257096867
2022-09-15,2.174048280439788,-1,0,5.047435063105759,False,0,-0.010146566088158225,-0.010156415599901577,1.8694357124921757,0.10443169498284316,96.52125002604637,0.9933830524050733
2022-09-16,2.075877557606287,-1,0,5.047435063105759,False,0,-0.0008953775307519647,-0.0009053321012194824,2.6138111611529773,0.30271708201009884,96.62917643201382,0.9944709524092182
2022-09-19,1.4491520430846223,-1,0,5.047435063105759,False,0,0.003811229469817353,0.003801513783603684,0.5858473169789157,0.017438091414031187,96.55357672829737,0.993708907988353
2022-09-20,1.0684194928561,-1,0,5.047435063105759,False,0,0.002537716818872832,0.002527609240834842,4.19774374937025,0.2967902433966216,96.58124638713234,0.993987816608648
2022-09-21,0.8391555789664671,-1,0,5.047435063105759,False,0,0.0014052503443591907,0.0013954137851335026,1.4544181942651275,0.07120225060855728,96.83997181200832,0.9965957702615644
2022-09-22,0.9374077755399547,-1,0,5.047435063105759,False,0,-0.001270848005246664,-0.001280613057617664,0.8667615967799213,0.031469872550324005,96.75229224067073,0.9957119587546203
